Country Name,Internet Users_2020,Internet Users_2021,Internet Users_2022,Internet Users_2023,GDP_2020,GDP_2021,GDP_2022,GDP_2023,Education Expenditure_2020,Education Expenditure_2021,Education Expenditure_2022,Education Expenditure_2023,Healthcare Expenditure_2020,Healthcare Expenditure_2021,Healthcare Expenditure_2022,Healthcare Expenditure_2023,Unemployment Rate_2020,Unemployment Rate_2021,Unemployment Rate_2022,Unemployment Rate_2023,Life Expectancy_2020,Life Expectancy_2021,Life Expectancy_2022,Life Expectancy_2023,Population in Urban Areas_2020,Population in Urban Areas_2021,Population in Urban Areas_2022,Population in Urban Areas_2023
Czechia,81.3,82.7,84.5,86,23472.89155,27696.46195,28282.22367,31591.05682,4.721590042,4.803199768,0,0,9.15721989,9.45247459,8.79904652,8.53962803,2.55,2.803,2.224,2.579,78.22682927,77.22195122,78.92926829,79.87804878,12.20559293,12.49026725,12.35073488,12.18090836
Denmark,96.5,98.9,97.9,98.8,60985.48856,69727.98737,68091.31911,68453.87693,7.383540154,6.999929905,5.296434402,0,10.71854591,10.74728584,9.4758625,9.41784573,5.637,5.043,4.434,5.094,81.60243902,81.40487805,81.30487805,81.85365854,23.09023693,23.19736959,23.21061176,23.22206401
Djibouti,59.9,61.4,63.3,65,2844.888106,3025.911264,3133.257798,3397.520158,0,0,0,0,2.32228446,2.88669515,2.49675012,0,27.713,27.668,26.307,26.154,64.2,63.83,65.54,65.987,0,0,0,0
Dominica,75.7,82.7,83.3,83.8,7827.748427,8376.404141,9323.660895,9912.962128,4.69630003,5.465845108,6.043142319,4.656741142,6.12651205,6.31661367,6.31969738,0,0,0,0,0,71.269,69.832,71.081,71.132,0,0,0,0
Dominican Republic,81.6,85.2,81.5,84.6,7135.222733,8527.075486,10104.24493,10630.43174,4.517698288,3.747313499,3.940271378,0,4.93967104,4.91807747,4.57254791,0,6.126,7.702,5.504,5.555,72.636,71.757,74.211,73.72,30.13893153,30.46537791,30.7871774,31.09882259
Early-demographic dividend,0,0,0,0,3250.749747,3765.510798,4113.000849,4322.182794,4.090565205,3.872497559,3.617783785,0,5.04812078,5.074445751,4.705658448,0,7.410809782,6.786333959,5.714150891,5.260029505,69.88013085,68.17909948,71.43045525,71.79624498,18.77625743,18.98396051,19.17840154,19.3603922
East Asia & Pacific,0,0,0,0,11595.29409,13282.76367,13084.28481,13117.90954,3.652873516,3.335639954,3.368479609,0,6.969516979,6.770504256,6.590113928,0,4.289700499,4.054342453,4.089531228,3.857711655,76.54343761,76.15300938,76.67678344,76.65951833,0,0,0,0
East Asia & Pacific (IDA & IBRD countries),0,0,0,0,8485.420258,10086.47852,10220.3605,10239.67433,3.216528893,2.982124329,2.887386799,2.951152325,5.353382348,5.261605546,5.154711419,0,4.38272644,4.139769791,4.245548757,3.990239378,75.73384971,75.30098061,75.96103475,75.90856436,0,0,0,0
East Asia & Pacific (excluding high income),0,0,0,0,8391.368384,9974.6364,10106.87252,10125.76681,3.216528893,2.982124329,2.887386799,2.951152325,5.353222631,5.261445642,5.154511079,0,4.360739681,4.122485917,4.223298385,3.972396589,75.69763933,75.27814184,75.93254094,75.88068309,0,0,0,0
Ecuador,70.7,69.1,69.7,72.7,5463.645153,6061.323502,6515.585284,6737.847484,4.261030197,3.647769928,3.59897995,3.893650055,8.6576252,8.20646191,7.53457022,0,6.127,4.552,3.761,3.51,72.004,72.746,76.577,77.392,27.74400414,27.95716024,28.16808804,28.36172113
"Egypt, Arab Rep.",71.9,72.1,72.2,72.7,3511.11381,3827.354154,4233.307837,3456.789685,0,0,0,0,4.15384626,4.60955143,4.70438385,0,7.974,7.441,7.344,7.334,69.79,68.976,71.01,71.633,23.9502706,24.06684488,24.18224844,24.24716533
El Salvador,54.6,61.8,65.5,67.7,3997.192796,4642.607431,5074.602102,5365.444914,3.660880089,3.577660084,3.256340027,3.172189951,8.95105076,10.12668991,9.84079742,0,5.008,4.327,2.999,2.992,70.244,69.941,71.969,72.099,17.73574973,17.70050491,17.68510485,17.68809045
Equatorial Guinea,55,58.7,59.3,60.4,5764.055029,6945.630698,7589.299649,6677.793435,0,0,0,0,3.99582434,3.39468098,2.91350007,0,8.781,8.976,8.455,8.367,62.141,62.447,63.355,63.707,0,0,0,0
Eritrea,14.3,18.4,18.7,20,0,0,0,0,0,0,0,0,4.31046677,4.17839003,3.87447667,0,6.088,6.177,5.695,5.586,66.98,66.94,67.789,68.624,0,0,0,0
Estonia,89.1,91,91.5,93.2,23933.99394,27953.76702,28451.14778,30133.30445,5.52696991,5.26320982,0,0,7.57906437,7.47860336,6.98701143,0,6.956,6.178,5.571,6.378,78.59512195,76.94390244,77.84390244,78.4902439,0,0,0,0
Eswatini,49,54,57.5,57.6,3454.784217,3966.298633,3889.65277,3741.690107,5.360104561,5.287148952,5.692605972,6.312942028,7.07603502,7.38329172,7.2226615,0,32.944,34.153,35.359,35.086,59.862,58.228,63.028,64.123,0,0,0,0
Ethiopia,16.1,16.7,0,0,905.3131593,910.9478871,1011.073324,0,4.090565205,4.065248966,3.736495018,0,3.48096275,3.2075386,2.85274577,0,3.994,3.935,3.409,3.402,65.969,65.33,66.897,67.315,4.03110737,4.098233066,4.169417177,4.243157359
Euro area,0,0,0,0,38234.53359,42967.25517,41446.43228,45068.70109,5.139569998,5.050464869,0,0,11.22329832,11.23585607,10.76566102,0,7.829555597,7.722352289,6.749181605,6.557963146,81.48735717,81.58393304,81.62122375,82.19200762,19.62088114,19.7033412,19.70953265,19.70982498
Europe & Central Asia,0,0,0,0,24121.4791,27591.41088,27782.86162,29835.71805,4.862639904,4.790170193,4.543890476,0,10.50985079,10.40787335,9.757937624,0,7.113002368,6.910928566,5.859394448,5.586352535,77.17574845,76.72872669,77.83611309,78.38701832,20.7400376,20.88970728,21.0419651,21.17982889
Europe & Central Asia (IDA & IBRD countries),0,0,0,0,8456.581747,9987.988644,11410.44153,12106.92409,4.389019966,4.096445084,4.054027557,0,6.773711906,6.457490073,6.083169623,0,7.242965625,6.833363079,5.685061062,5.160330972,73.15237382,72.15390077,74.19160336,74.7300564,21.04688158,21.24019007,21.54687973,21.85132985
Europe & Central Asia (excluding high income),0,0,0,0,5733.417619,6623.351377,7247.609812,8571.410187,4.389126778,4.136229992,4.106591225,4.951479912,5.544325854,5.717847581,4.710808393,0,9.316387245,9.010554343,7.815804015,7.333127511,73.55895735,72.88743297,74.57862234,74.79871528,23.4751386,23.65651836,24.14443736,24.66841443
European Union,0,0,0,0,34698.40321,39214.36608,37962.8295,41392.07438,4.876560211,4.803199768,0,0,10.86350203,10.86994787,10.36572377,0,7.053502103,7.014184537,6.144234647,6.025065807,80.44147547,80.30719644,80.71298184,81.41145038,17.58818503,17.6993569,17.7213916,17.73130027
Faroe Islands,0,0,0,0,62240.82241,68749.40056,66139.38097,71774.35224,0,0,0,0,0,0,0,0,0,0,0,0,82.64390244,82.84390244,82.94390244,83.14390244,0,0,0,0
Fiji,68.6,74.5,78.2,79.3,4844.421272,4696.171039,5405.030062,5888.736673,5.805195332,4.852686405,3.9383955,4.246798038,5.28987408,7.06084681,4.00910091,3.57928777,4.649,4.701,4.446,4.322,66.924,64.904,67.148,67.316,0,0,0,0
Finland,92.2,92.8,93,93.5,48828.68469,53099.13514,50440.56022,52821.51143,6.634940147,6.538259983,0,0,9.63249588,9.83458328,9.6589222,0,7.759,7.617,6.719,7.151,81.93170732,81.88536585,81.18780488,81.68536585,23.59780908,23.76381448,23.89734825,23.95786752
Fragile and conflict affected situations,0,0,0,0,1689.916908,1763.845894,1903.898873,1781.8601,3.652873516,3.67454195,0,0,4.912512043,5.175243546,4.546843932,0,6.651807556,6.777619441,5.609176212,5.20087834,62.08818298,61.63212679,62.72768319,63.37328126,15.31143245,15.44439141,15.63412436,15.83000179
France,84.7,86.1,85.3,86.8,39169.8606,43725.09995,41082.81193,44690.93454,5.659810066,5.430389881,0,0,12.07226849,12.29229355,11.8819046,0,8.009,7.874,7.308,7.335,82.17560976,82.32439024,82.12926829,82.92926829,22.79225741,22.83804986,22.89502177,22.95632434
French Polynesia,0,0,0,0,19966.48385,21982.90389,20738.65,22774.1419,0,0,0,0,0,0,0,0,12.951,12.531,11.888,11.749,82.459,79.571,83.859,84.07,0,0,0,0
Gabon,63.9,68.6,70.7,71.9,6605.803461,8181.409141,8409.207415,8071.397774,3.398740768,2.700792789,2.207736492,0,3.41717625,2.69024062,2.85591531,0,21.27,21.218,20.399,20.278,67.073,67.072,67.713,68.337,0,0,0,0
"Gambia, The",34.2,37.6,44,45.9,720.3351434,781.8909252,836.2448756,888.1574074,2.887345791,3.044776917,2.742823124,2.696594715,3.72824264,3.19251013,3.41435836,0,5.892,6.269,6.076,6.479,64.418,63.847,64.859,65.86,0,0,0,0
Georgia,72.5,76.4,78.7,81.9,4300.857013,5083.606955,6729.846599,8283.669607,3.849859238,3.594419956,3.754980087,3.738610029,8.34160137,8.3153286,7.25569582,0,11.73,11.791,11.647,11.537,73.509,71.635,74.141,74.496,28.95286667,29.09030607,29.10029409,29.12797609
Germany,89.8,91.4,91.6,92.5,47379.76519,52265.65416,49686.11546,53940.40734,5.590380192,5.454889774,4.543890476,0,12.6902256,12.90171242,12.60513115,11.79903221,3.881,3.594,3.12,3.068,81.04146341,80.7902439,80.60804878,80.54146341,9.630831067,9.661285956,9.620804128,9.632185665
Ghana,62.5,68.6,69.4,69.9,2195.454817,2445.186625,2229.891226,2383.904105,3.409159899,3.41949439,2.905294418,0,4.4331708,3.86030865,3.6993649,0,3.313,3.384,3.084,3.063,64.309,64.286,65.246,65.498,18.38341104,18.59548047,18.81112374,19.02547461
Gibraltar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.07,80.274,83.517,83.553,0,0,0,0
Greece,78.1,78.5,83.2,85,17886.73317,20654.7002,20971.83493,23400.72788,4.495000362,4.082014561,0,0,9.5242157,9.18476486,8.49983692,0,15.899,14.656,12.426,11.066,81.28780488,80.08292683,80.78780488,81.53658537,29.4744667,29.83435749,30.21765504,30.31508647
Greenland,0,0,0,0,54812.66618,58135.99399,55635.00065,58498.97431,0,0,0,0,0,0,0,0,0,0,0,0,71.85073171,71.81390244,71.5404878,71.5497561,0,0,0,0
Grenada,67.4,70.6,74.3,74.1,8968.558901,9622.240505,10535.45888,11308.28742,0,4.090303421,3.935364962,0,5.3228159,5.34433317,4.94846392,0,0,0,0,0,75.019,74.522,75.151,75.205,0,0,0,0
Guam,0,0,0,0,36482.9364,38074.87937,41833.15171,0,0,0,0,0,0,0,0,0,6.248,5.991,5.454,5.363,75.529,75.434,77.102,77.209,0,0,0,0
